STATEFIP,PUMA,PUMAName,State,hhNonEnglish,hhNonEngParEngChld,hhTotal,pctNonEnglish,pctNonEngParEngChld
48,05909,"San Antonio (Northwest) & Leon Valley Cities PUMA, Texas",Texas,20429,5522,39498,51.7,14
53,11608,"King County (Northwest Central)--Greater Bellevue City PUMA, Washington",Washington,28903,8488,60712,47.6,14
06,08103,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA; California",California,20302,5718,41212,49.3,13.9
12,08614,"Miami-Dade County (East)--Miami City (East) & Key Biscayne Village PUMA, Florida",Florida,35684,6732,48415,73.7,13.9
36,03106,"Westchester County (Southwest)--Yonkers City PUMA, New York",New York,40118,10788,77852,51.5,13.9
40,01001,"Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA, Oklahoma",Oklahoma,15087,5675,40886,36.9,13.9
48,02513,"Fort Worth City (South Central) & Edgecliff Village Town PUMA, Texas",Texas,19109,6972,50255,38,13.9
48,04630,"Harris County (Far North)--Tomball City & The Woodlands (Southwest) PUMA, Texas",Texas,20310,6914,49623,40.9,13.9
42,03205,"Philadelphia City (East) PUMA, Pennsylvania",Pennsylvania,29306,8179,59193,49.5,13.8
04,00300,"Navajo & Apache Counties PUMA, Arizona",Arizona,34363,8220,59950,57.3,13.7
06,00105,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA; California",California,32276,8917,65001,49.7,13.7
06,06504,"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California",California,16234,5711,41695,38.9,13.7
12,07103,"Lee County (Northeast)--Lehigh Acres & North Fort Myers PUMA, Florida",Florida,20697,7678,56042,36.9,13.7
13,04001,"Atlanta Regional Commission (Northeast)--Gwinnett County (West Central)--Duluth City PUMA, Georgia",Georgia,25649,7461,54444,47.1,13.7
24,01101,"Prince George's County (Northwest)--College Park City & Langley Park PUMA, Maryland",Maryland,21075,6100,44681,47.2,13.7
25,01900,"Hampden County (Central)--Springfield City PUMA, Massachusetts",Massachusetts,28874,8506,62075,46.5,13.7
51,59306,"Fairfax County (South Central)--Springfield (South), West Springfield & Franconia PUMA; Virginia",Virginia,17363,5275,38479,45.1,13.7
06,07704,"San Joaquin County (North)--Lodi, Ripon & Escalon Cities PUMA; California",California,25213,8611,63149,39.9,13.6
06,03705,"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",California,35533,8984,65913,53.9,13.6
17,03415,"Cook County (North)--Wheeling Township (North & East) PUMA, Illinois",Illinois,23626,6779,49987,47.3,13.6
17,03409,"Cook County (West Central)--Lyons & Stickney Townships PUMA, Illinois",Illinois,22510,7452,54727,41.1,13.6
17,03523,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",Illinois,32998,9585,70488,46.8,13.6
48,04617,"Houston City (South)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",Texas,16754,5793,42600,39.3,13.6
51,59302,"Fairfax County (Southeast)--Woodlawn, Rose Hill & Mount Vernon PUMA; Virginia",Virginia,18865,6528,48065,39.2,13.6
27,01303,"Ramsey County (Southeast)--St. Paul City (East) PUMA, Minnesota",Minnesota,18596,6997,51639,36,13.5
36,03701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",New York,27086,6619,48915,55.4,13.5
48,04625,"Harris County (North)--Houston (North), Humble Cities & Atascocita PUMA; Texas",Texas,20514,6328,46911,43.7,13.5
26,03212,"Detroit City (Southwest) PUMA, Michigan",Michigan,15567,5834,43473,35.8,13.4
34,01401,"Essex County (Northeast) PUMA, New Jersey",New Jersey,19239,5721,42576,45.2,13.4
34,00702,"Hudson County (Northeast)--Union City & Hoboken Cities PUMA, New Jersey",New Jersey,32788,7808,58180,56.4,13.4
36,03104,"Westchester County (Southeast) PUMA, New York",New York,18295,5968,44483,41.1,13.4
48,02306,"Dallas (Northeast) & Mesquite (North) Cities--North of I-30 & West of I-635 PUMA, Texas",Texas,20506,6779,50439,40.7,13.4
48,06602,"Coastal Bend COG--Nueces County (Central)--Corpus Christi City (North Central) PUMA, Texas",Texas,27565,5761,43025,64.1,13.4
48,02002,"Denton County (Southeast)--Lewisville City PUMA, Texas",Texas,16504,5646,42089,39.2,13.4
48,02004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA; Texas",Texas,20701,7412,55458,37.3,13.4
12,01114,"Broward County (Southeast)--Miramar (East), Hallandale Beach & West Park Cities PUMA; Florida",Florida,24658,5797,43750,56.4,13.3
12,09504,"Orange County (South Central)--Orlando City (South Central), Conway & Pine Castle PUMA; Florida",Florida,25165,6759,50743,49.6,13.3
13,03300,"Georgia Mountains Regional Commission (Southwest)--Forsyth County PUMA, Georgia",Georgia,25867,10285,77332,33.4,13.3
17,03207,"Dupage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA, Illinois",Illinois,18512,5724,43174,42.9,13.3
36,03203,"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",New York,13063,4630,34819,37.5,13.3
41,01321,"Washington County (West)--Forest Grove, Cornelius Cities, Bethany & Oak Hills PUMA; Oregon",Oregon,13738,5529,41419,33.2,13.3
48,04637,"Houston City (West)--Westpark Tollway, West of Beltway TX-8 PUMA; Texas",Texas,28470,6935,52037,54.7,13.3
06,07305,"San Diego County (Northwest)--San Marcos & Escondido (West) Cities PUMA, California",California,17337,5804,43835,39.6,13.2
42,03203,"Philadelphia City (Near Northeast-East) PUMA, Pennsylvania",Pennsylvania,18591,6291,47643,39,13.2
48,06601,"Coastal Bend COG--Nueces County--Corpus Christi City (Outer) PUMA, Texas",Texas,23318,6134,46599,50,13.2
04,00103,"Maricopa County--Mesa City (West) PUMA, Arizona",Arizona,17662,5650,43166,40.9,13.1
06,09703,"Sonoma County (Central)--Santa Rosa City PUMA, California",California,25255,9411,72055,35,13.1
06,01302,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA; California",California,21401,6041,46174,46.3,13.1
13,04003,"Atlanta Regional Commission--Gwinnett County (Central)--Lawrenceville City PUMA, Georgia",Georgia,21169,7139,54416,38.9,13.1
36,03211,"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",New York,13742,4645,35450,38.8,13.1
48,03000,"Permian Basin Regional Planning Commission (Central)--Midland County--Midland City PUMA, Texas",Texas,26609,7681,58817,45.2,13.1
48,02311,"Dallas City (North)--South of I-635 & West of US-75 PUMA, Texas",Texas,18005,5542,42267,42.6,13.1
06,03721,"Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA, California",California,28924,7056,54417,53.2,13
06,05911,"Orange County (Central)--Orange & Villa Park Cities PUMA, California",California,21496,6273,48185,44.6,13
13,04004,"Atlanta Regional Commission (Northeast)--Gwinnett County (East) PUMA, Georgia",Georgia,13722,4859,37331,36.8,13
36,03201,"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",New York,18492,5548,42704,43.3,13
36,04018,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",New York,34553,6184,47583,72.6,13
36,04113,"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",New York,18616,5145,39512,47.1,13
06,05500,"Napa County--Napa City PUMA, California",California,18757,6820,52721,35.6,12.9
13,02700,"Northwest Georgia Regional Commission (North Central)--Whitfield County PUMA, Georgia",Georgia,11620,4782,37095,31.3,12.9
48,04627,"Harris County (Far North)--Spring PUMA, Texas",Texas,19336,5817,45244,42.7,12.9
48,01903,"Collin County (Southwest)--Plano City (Central) PUMA, Texas",Texas,15842,5078,39329,40.3,12.9
06,03747,"Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA, California",California,27349,7993,62463,43.8,12.8
06,06510,"Riverside County (Northwest)--Riverside City (East) PUMA, California",California,26075,6789,53184,49,12.8
12,05703,"Hillsborough County (Northwest) PUMA, Florida",Florida,27563,7636,59530,46.3,12.8
25,03304,"Boston City--Mattapan & Roxbury PUMA, Massachusetts",Massachusetts,27073,7043,54853,49.4,12.8
36,03205,"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",New York,15477,4825,37820,40.9,12.8
48,02307,"Dallas City (Northeast)--East of US-75 PUMA, Texas",Texas,25631,7004,54746,46.8,12.8
48,05913,"San Antonio (Northeast), Kirby & Windcrest Cities PUMA; Texas",Texas,17853,4799,37475,47.6,12.8
51,59304,"Fairfax County (Southwest)--Centreville (Southeast) & Lorton PUMA, Virginia",Virginia,14711,4488,35084,41.9,12.8
06,06705,"Sacramento County (Northwest)--Sacramento City (Northwest/Natomas) PUMA, California",California,19410,5241,41403,46.9,12.7
08,00806,"Adams County (West Central)--Thornton & Federal Heights Cities PUMA, Colorado",Colorado,19167,6397,50569,37.9,12.7
12,09503,"Orange County (Southwest)--Disney-International Drive Region PUMA, Florida",Florida,22238,6242,49130,45.3,12.7
48,04903,"Fort Bend County (Central)--Rosenberg City, Pecan Grove & New Territory PUMA; Texas",Texas,17261,5243,41194,41.9,12.7
48,04501,"Houston-Galveston Area Council--Montgomery County (Northeast)--Conroe City (East) PUMA, Texas",Texas,17813,6878,54180,32.9,12.7
51,59308,"Fairfax County (Northeast)--McLean & Idylwood PUMA, Virginia",Virginia,17772,5391,42534,41.8,12.7
53,11610,"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA; Washington",Washington,22775,6915,54505,41.8,12.7
24,01001,"Montgomery County (North & West)--Olney, Damascus, Clarksburg & Darnestown PUMA; Maryland",Maryland,17877,5997,47568,37.6,12.6
09,00901,"Waterbury Town PUMA, Connecticut",Connecticut,19244,5355,42853,44.9,12.5
12,09502,"Orange County (West Central)--Winter Garden, Ocoee Cities & Oakland Town PUMA; Florida",Florida,19830,6178,49513,40.1,12.5
17,03419,"Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships PUMA, Illinois",Illinois,20816,6016,48022,43.3,12.5
34,00906,"Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs PUMA; New Jersey",New Jersey,25367,8380,66825,38,12.5
34,00302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA; New Jersey",New Jersey,23267,5860,46979,49.5,12.5
36,03313,"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",New York,12865,4373,34968,36.8,12.5
48,05202,"Capital Area COG--Williamson County (Southeast)--Round Rock City PUMA, Texas",Texas,16476,5167,41174,40,12.5
53,11704,"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs PUMA; Washington",Washington,18198,5971,47705,38.1,12.5
17,03209,"DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA, Illinois",Illinois,16671,5750,46229,36.1,12.4
36,03001,"Rockland County (North)--New City & Congers PUMA, New York",New York,15148,4536,36551,41.4,12.4
36,03903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",New York,27052,7949,64043,42.2,12.4
49,35004,"Salt Lake County--West Valley City (East), Taylorsville & Murray (West) Cities PUMA; Utah",Utah,16540,5298,42619,38.8,12.4
24,01007,"Montgomery County (Southeast)--Takoma Park City & Silver Spring PUMA, Maryland",Maryland,20536,5658,46035,44.6,12.3
34,01903,"Union County (Southwest)--Plainfield City & Westfield Town (South) PUMA, New Jersey",New Jersey,13985,4411,35739,39.1,12.3
48,05309,"Travis County (West, South & Outside Austin City) PUMA; Texas",Texas,18124,6186,50159,36.1,12.3
51,59305,"Fairfax County (North Central)--Vienna Town, Oakton & Fair Oaks (East) PUMA; Virginia",Virginia,20206,5577,45363,44.5,12.3
04,00118,"Phoenix City--Downtown & Sky Harbor International Airport PUMA, Arizona",Arizona,20203,6013,49400,40.9,12.2
06,08501,"Santa Clara County (Northwest)--Mountain View, Palo Alto & Los Altos Cities PUMA; California",California,42563,10938,89351,47.6,12.2
06,03709,"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California",California,15647,4873,39982,39.1,12.2
09,00102,"Stamford & Greenwich Towns PUMA, Connecticut",Connecticut,31357,8975,73314,42.8,12.2
13,03400,"Georgia Mountains Regional Commission (South Central)--Hall County PUMA, Georgia",Georgia,20412,8086,66217,30.8,12.2
15,00305,"Honolulu County--Nuuanu to Kalihi PUMA, Hawaii",Hawaii,21984,4945,40565,54.2,12.2
34,02302,"Mercer County (North)--Princeton Borough PUMA, New Jersey",New Jersey,22990,7319,60151,38.2,12.2
40,01005,"Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA, Oklahoma",Oklahoma,16082,5835,48013,33.5,12.2
48,04504,"Houston-Galveston Area Council--Montgomery County (Southeast) PUMA, Texas",Texas,17974,5629,46061,39,12.2
06,07111,"San Bernardino County (Southwest)--Rancho Cucamonga City PUMA, California",California,26508,7269,59891,44.3,12.1
06,10100,"Sutter & Yuba Counties--Yuba City PUMA, California",California,24104,7443,61361,39.3,12.1
12,09910,"Palm Beach County (Central)--Wellington Village & Agricultural Reserve PUMA, Florida",Florida,15003,5006,41370,36.3,12.1
17,03401,"Cook County (Northwest)--Palatine & Barrington Townships PUMA, Illinois",Illinois,19469,5898,48783,39.9,12.1
24,00902,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA; Maryland",Maryland,24350,8083,66529,36.6,12.1
32,00408,"Clark County (Central)--Spring Valley & Summerlin South PUMA, Nevada",Nevada,37978,10365,85613,44.4,12.1
02,00400,"Subsistence Alaska PUMA, Alaska",Alaska,18978,5004,41783,45.4,12
06,08503,"Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities PUMA, California",California,37973,7481,62363,60.9,12
06,08509,"Santa Clara County (Central)--San Jose City (Northwest) PUMA, California",California,30706,6775,56230,54.6,12
12,08611,"Miami-Dade County (Northeast Central)--Miami City (North) PUMA, Florida",Florida,29306,5885,48899,59.9,12
48,01907,"Collin County (East) PUMA, Texas",Texas,16065,5620,47005,34.2,12
48,02506,"Tarrant County (South Central)--Fort Worth City (Southeast)--South of I-20 PUMA, Texas",Texas,13406,4877,40761,32.9,12
06,06704,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park PUMA; California",California,20333,6004,50631,40.2,11.9
06,07313,"San Diego County (Central)--El Cajon & Santee Cities PUMA, California",California,26464,7677,64656,40.9,11.9
06,08104,"San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA, California",California,22998,5900,49715,46.3,11.9
09,00302,"Hartford Town PUMA, Connecticut",Connecticut,25883,6425,54192,47.8,11.9
12,09510,"Orange County (Northeast) PUMA, Florida",Florida,22848,5580,46927,48.7,11.9
17,03310,"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA; Illinois",Illinois,17654,6097,51227,34.5,11.9
53,11614,"King County (Southwest)--Auburn City & Lakeland PUMA, Washington",Washington,14597,5059,42617,34.3,11.9
06,08105,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA; California",California,23636,6314,53586,44.1,11.8
06,01309,"Contra Costa County (East)--Brentwood & Oakley Cities PUMA, California",California,13302,4573,38686,34.4,11.8
48,00100,"Panhandle Regional Planning Commission (Outside Potter & Randall Counties) PUMA, Texas",Texas,26180,8167,69001,37.9,11.8
48,05203,"Williamson County (South)--Austin City (Far North), Brushy Creek & Jollyville PUMA; Texas",Texas,15840,4938,41986,37.7,11.8
06,03768,"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA, California",California,18266,5050,43244,42.2,11.7
08,00809,"Arapahoe (West) & Adams (South Central) Counties--Aurora City (North Central) PUMA, Colorado",Colorado,15923,5229,44614,35.7,11.7
25,00502,"Middlesex County (Far Northeast)--Lowell City PUMA, Massachusetts",Massachusetts,20725,5148,44099,47,11.7
32,00409,"Clark County (Central)--Paradise (Northwest) & Winchester PUMA, Nevada",Nevada,32900,7926,67856,48.5,11.7
34,01002,"Somerset County (South) PUMA, New Jersey",New Jersey,15361,4730,40382,38,11.7
35,01002,"Doña Ana County (Central)--Las Cruces, Mesilla Cities & University Park PUMA; New Mexico",New Mexico,23034,5377,46067,50,11.7
51,51244,"Prince William County (North & West)--Linton Hall & Gainesville PUMA, Virginia",Virginia,13051,4670,39764,32.8,11.7
04,00900,"Cochise & Santa Cruz Counties--Sierra Vista City PUMA, Arizona",Arizona,34166,8624,74650,45.8,11.6
06,11300,"Yolo County--Davis, Woodland & West Sacramento Cities PUMA; California",California,36927,9600,82476,44.8,11.6
06,06503,"Riverside County (Southwest)--Temecula City PUMA, California",California,15897,4962,42917,37,11.6
13,04002,"Atlanta Regional Commission (Northeast)--Gwinnett County (North)--Sugar Hill City PUMA, Georgia",Georgia,15433,4848,41748,37,11.6
17,03522,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",Illinois,25722,5990,51540,49.9,11.6
34,00601,"Hudson County (Central)--Jersey City (North) PUMA, New Jersey",New Jersey,38358,7078,60997,62.9,11.6
41,01105,"Marion County (Outside Salem & Keizer Cities)--Woodburn & Silverton Cities PUMA, Oregon",Oregon,12951,4839,41781,31,11.6
48,02318,"Dallas County (Southwest)--Cedar Hill & Duncanville Cities PUMA, Texas",Texas,13203,4540,39040,33.8,11.6
48,02309,"Dallas (Far North) & Richardson (Southwest) Cities PUMA, Texas",Texas,18650,5447,47067,39.6,11.6
51,10703,"Loudoun County (West & South)--Leesburg Town PUMA, Virginia",Virginia,15642,5351,46233,33.8,11.6
06,05918,"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California",California,28413,7759,67751,41.9,11.5
06,07308,"San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA, California",California,18268,5588,48469,37.7,11.5
06,09904,"Stanislaus County (Central)--Modesto City (East) PUMA, California",California,16995,4755,41352,41.1,11.5
08,00812,"Denver City (Northeast) PUMA, Colorado",Colorado,26696,8673,75721,35.3,11.5
12,09501,"Orange County (Northwest) PUMA, Florida",Florida,17156,5685,49481,34.7,11.5
53,11702,"Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities PUMA, Washington",Washington,19146,5809,50299,38.1,11.5
34,00502,"Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA, New Jersey",New Jersey,15918,4711,41253,38.6,11.4
36,04108,"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",New York,34564,5938,52308,66.1,11.4
48,06500,"Coastal Bend COG (Northeast) PUMA, Texas",Texas,23654,5943,52222,45.3,11.4
48,00200,"Panhandle Regional Planning Commission--Potter County--Amarillo City (North) PUMA, Texas",Texas,19034,5825,51077,37.3,11.4
06,03701,"Los Angeles County (North/Unincorporated)--Castaic PUMA, California",California,19861,5481,48543,40.9,11.3
08,00824,"DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast) PUMA, Colorado",Colorado,14851,4884,43155,34.4,11.3
12,01109,"Broward County (Southeast)--Hollywood (North) & Dania Beach (South) Cities PUMA, Florida",Florida,21099,4651,41280,51.1,11.3
18,00101,"Lake County (Northwest)--Hammond & East Chicago Cities PUMA, Indiana",Indiana,15406,4718,41752,36.9,11.3
36,03804,"NYC-Manhattan Community District 11--East Harlem PUMA, New York",New York,29938,6311,56081,53.4,11.3
41,01103,"Marion County (West Central)--Salem (North), Keizer Cities & Hayesville PUMA; Oregon",Oregon,13935,4436,39256,35.5,11.3
48,05302,"Austin City (North) PUMA, Texas",Texas,20923,5558,49813,42,11.2
04,00807,"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities PUMA; Arizona",Arizona,17292,5129,46044,37.6,11.1
06,07309,"San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA, California",California,23313,7263,65268,35.7,11.1
12,09506,"Orange County (Central)--Orlando City (West Downtown) & Pine Hills (Southeast) PUMA, Florida",Florida,18736,4777,42894,43.7,11.1
06,03720,"Los Angeles County (Central)--Burbank City PUMA, California",California,24497,5311,48356,50.7,11
09,00305,"New Britain, Berlin & Plainville Towns PUMA; Connecticut",Connecticut,21168,5149,46982,45.1,11
12,09300,"Southeast Heartland--Highlands (South & East), Okeechobee, Hendry & Glades Counties PUMA; Florida",Florida,14688,4614,42073,34.9,11
25,00504,"Middlesex County (South)--Framingham Town, Marlborough City & Natick Town PUMA; Massachusetts",Massachusetts,24860,6890,62641,39.7,11
35,01200,"Far Southeast New Mexico PUMA, New Mexico",New Mexico,19076,5165,47089,40.5,11
36,04001,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",New York,36573,7426,67210,54.4,11
36,02903,"Orange County (Southeast) PUMA, New York",New York,15813,4895,44392,35.6,11
51,59303,"Fairfax County (Central) & Fairfax City--Burke PUMA, Virginia",Virginia,22542,6457,58722,38.4,11
04,00106,"Maricopa County--Chandler City (Northeast) PUMA, Arizona",Arizona,15497,4723,43349,35.7,10.9
06,07506,"San Francisco County (South Central)--Sunset District (South) PUMA, California",California,23701,4673,42701,55.5,10.9
31,00904,"Douglas County--Omaha City (Southeast) PUMA, Nebraska",Nebraska,14737,5253,48220,30.6,10.9
34,00308,"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs PUMA; New Jersey",New Jersey,11887,4019,36835,32.3,10.9
36,03105,"Westchester County (Central)--White Plains City PUMA, New York",New York,25505,7120,65239,39.1,10.9
36,04009,"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",New York,29171,7632,70123,41.6,10.9
04,00132,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities PUMA; Arizona",Arizona,14605,4799,44445,32.9,10.8
06,05301,"Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUMA; California",California,26296,7686,71016,37,10.8
09,00100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA; Connecticut",Connecticut,22070,7114,65938,33.5,10.8
34,01503,"Morris County (East)--Lincoln Park Borough PUMA, New Jersey",New Jersey,17703,4625,42806,41.4,10.8
34,01106,"Monmouth County (Central) PUMA, New Jersey",New Jersey,11148,3763,34784,32,10.8
41,01323,"Washington County (Central)--Beaverton City (West) & Aloha PUMA, Oregon",Oregon,15474,4621,42749,36.2,10.8
44,00102,"Northeast Rhode Island--Providence County--Pawtucket & Central Falls Cities PUMA, Rhode Island",Rhode Island,28331,7716,71605,39.6,10.8
48,02310,"Dallas (Far North), Carrollton (Southeast) Cities & Addison Town--North of I-635 PUMA; Texas",Texas,21746,5799,53491,40.7,10.8
48,02511,"Fort Worth City (North)--East of I-35W & West of US-377 PUMA, Texas",Texas,14554,4419,41048,35.5,10.8
15,00307,"Honolulu County--Central Oahu PUMA, Hawaii",Hawaii,18911,4773,44690,42.3,10.7
20,00500,"Wyandotte County--Kansas City PUMA, Kansas",Kansas,19620,6602,61414,31.9,10.7
24,00901,"Howard County (West)--Columbia (West) & Ellicott City (Northwest) PUMA, Maryland",Maryland,15452,5367,50051,30.9,10.7
35,00300,"North Central New Mexico PUMA, New Mexico",New Mexico,29851,5230,48720,61.3,10.7
37,03108,"Mecklenburg County (South)--Matthews Town (South) PUMA, North Carolina",North Carolina,15268,5120,47977,31.8,10.7
48,02509,"Fort Worth (Northeast) & Hurst (South) Cities--North of I-30 PUMA, Texas",Texas,18680,5829,54335,34.4,10.7
48,05916,"Bexar County (Northeast)--San Antonio (Northeast), Universal City & Converse Cities PUMA; Texas",Texas,16298,4167,38917,41.9,10.7
48,04631,"Harris County (Northwest)--North of US-290 & North of FM-1960 PUMA, Texas",Texas,16230,4852,45242,35.9,10.7
53,11612,"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island PUMA; Washington",Washington,17481,5385,50312,34.7,10.7
53,11607,"King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA; Washington",Washington,25096,6691,62309,40.3,10.7
06,09501,"Solano County (Southwest)--Vallejo & Benicia Cities PUMA, California",California,22278,5870,55594,40.1,10.6
24,01102,"Prince George's County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville PUMA; Maryland",Maryland,18611,5447,51216,36.3,10.6
48,02001,"Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA, Texas",Texas,19049,5557,52201,36.5,10.6
48,03501,"Central Texas COG--Bell County (West)--Killeen & Harker Heights Cities PUMA, Texas",Texas,25732,6605,62298,41.3,10.6
06,11101,"Ventura County (Southeast)--Simi Valley City PUMA, California",California,14672,4086,39002,37.6,10.5
12,09909,"Palm Beach County (West of Boca Raton City) PUMA, Florida",Florida,15644,4397,42057,37.2,10.5
12,05704,"Hillsborough County (North Central) PUMA, Florida",Florida,27758,6859,65436,42.4,10.5
17,03102,"Will County (West Central)--Joliet & Troy Townships PUMA, Illinois",Illinois,15610,5173,49137,31.8,10.5
37,01208,"Wake County (Southwest)--Apex & Holly Springs Towns PUMA, North Carolina",North Carolina,13633,4764,45339,30.1,10.5
41,01316,"Multnomah County (East)--Gresham & Troutdale Cities PUMA, Oregon",Oregon,18369,6392,61151,30,10.5
47,02504,"Nashville-Davidson (Southeast) PUMA, Tennessee",Tennessee,16897,5456,51988,32.5,10.5
48,04629,"Harris County (North)--North of FM-1960, West of I-45 & East of TX-249 PUMA; Texas",Texas,16348,4985,47544,34.4,10.5
53,10300,"Chelan & Douglas Counties PUMA, Washington",Washington,13302,4771,45319,29.4,10.5
06,01100,"Colusa, Glenn, Tehama & Trinity Counties PUMA; California",California,15433,5114,49025,31.5,10.4
08,00808,"Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities PUMA, Colorado",Colorado,12612,4107,39498,31.9,10.4
27,01403,"Hennepin County--Brooklyn Park, Maple Grove (East) & Osseo Cities PUMA; Minnesota",Minnesota,13112,4409,42360,31,10.4
34,01001,"Somerset County (North & West) PUMA, New Jersey",New Jersey,12751,4237,40785,31.3,10.4
06,01906,"Fresno County (Central)--Clovis City PUMA, California",California,14593,4180,40750,35.8,10.3
09,00103,"Norwalk, Westport & Darien Towns PUMA; Connecticut",Connecticut,18936,5329,51979,36.4,10.3
17,03503,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",Illinois,29181,6266,60615,48.1,10.3
24,01004,"Montgomery County (South)--Bethesda, Potomac & North Bethesda PUMA; Maryland",Maryland,29994,8050,77950,38.5,10.3
26,03003,"Macomb County (Southwest)--Sterling Heights City PUMA, Michigan",Michigan,18143,5270,51134,35.5,10.3
36,03102,"Westchester County (Northwest) PUMA, New York",New York,21644,6070,59129,36.6,10.3
12,01105,"Broward County (Central)--Tamarac, Oakland Park & North Lauderdale Cities PUMA; Florida",Florida,28496,7164,70542,40.4,10.2
13,04005,"Atlanta Regional Commission (Northeast)--Gwinnett County (South)--Snellville City PUMA, Georgia",Georgia,12995,4327,42382,30.7,10.2
16,00500,"Canyon (South) & Owyhee Counties--Caldwell & Nampa (South & West) Cities PUMA, Idaho",Idaho,13201,4410,43322,30.5,10.2
36,03202,"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",New York,15141,4448,43463,34.8,10.2
48,06100,"Alamo Area COG (Southwest) PUMA, Texas",Texas,24054,5253,51734,46.5,10.2
12,05706,"Hillsborough County (Northeast) PUMA, Florida",Florida,15632,4852,47835,32.7,10.1
35,00200,"San Juan County (Northeast)--Farmington, Bloomfield & Aztec Cities PUMA; New Mexico",New Mexico,13440,3685,36591,36.7,10.1
36,03212,"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",New York,12028,3939,38965,30.9,10.1
53,10702,"Benton County (East Central)--Kennewick & Richland (South) Cities PUMA, Washington",Washington,12967,4482,44389,29.2,10.1
06,03711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California",California,25749,6323,62975,40.9,10
