STATEFIP,PUMA,PUMAName,State,hhNonEnglish,hhNonEngParEngChld,hhTotal,pctNonEnglish,pctNonEngParEngChld
06,04702,"Merced County (Northeast)--Merced & Atwater Cities PUMA, California",California,29962,10386,53090,56.4,19.6
06,05303,"Monterey (South & East) & San Benito Counties PUMA, California",California,25630,8997,45859,55.9,19.6
34,00902,"Middlesex County (Southwest) PUMA, New Jersey",New Jersey,21405,8380,42671,50.2,19.6
48,04609,"Houston City (North)--South of Aldine & Inside Beltway TX-8 PUMA, Texas",Texas,26527,8703,44436,59.7,19.6
04,00700,"Yuma County--Yuma City PUMA, Arizona",Arizona,42206,15416,78877,53.5,19.5
12,09509,"Orange County (Southeast) PUMA, Florida",Florida,29424,9129,46814,62.9,19.5
48,05905,"San Antonio City (West)--Inside Loop I-410 PUMA, Texas",Texas,28308,7833,40101,70.6,19.5
06,03766,"Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA, California",California,21097,7102,36670,57.5,19.4
12,09701,"Osceola County (West) PUMA, Florida",Florida,35943,11439,58815,61.1,19.4
34,00904,"Middlesex County (North Central)--Metuchen Borough PUMA, New Jersey",New Jersey,21884,7680,39573,55.3,19.4
35,00806,"Albuquerque City (Southwest Mesa) & Bernalillo County (Southwest Mesa & South Valley) PUMA, New Mexico",New Mexico,24923,7365,37990,65.6,19.4
48,02508,"Fort Worth City (East Central)--South of I-30, East of I-35W & Inside Loop I-820 PUMA; Texas",Texas,17379,7346,37858,45.9,19.4
48,02503,"Tarrant County (East)--Arlington (East) & Grand Prairie (West Central) Cities PUMA, Texas",Texas,25753,9037,46529,55.3,19.4
34,00907,"Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA, New Jersey",New Jersey,23494,7511,39003,60.2,19.3
06,06511,"Riverside County (Northwest)--Riverside City (West) PUMA, California",California,28319,10460,54563,51.9,19.2
06,03754,"Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA, California",California,25197,8181,42900,58.7,19.1
06,07507,"San Francisco County (South Central)--Bayview & Hunters Point PUMA, California",California,23067,6567,34294,67.3,19.1
49,35003,"Salt Lake County--West Valley City (Central), Salt Lake City (South Central) & Kearns PUMA; Utah",Utah,13826,5661,29777,46.4,19
06,03762,"Los Angeles County (South Central)--Carson City PUMA, California",California,21179,6482,34369,61.6,18.9
32,00403,"Clark County (Central)--Greater North Las Vegas City PUMA, Nevada",Nevada,29149,11411,60497,48.2,18.9
06,01903,"Fresno County (Central)--Fresno City (East Central) PUMA, California",California,19136,6401,34033,56.2,18.8
06,03713,"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California",California,23112,6743,35847,64.5,18.8
36,03710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",New York,42321,11905,63445,66.7,18.8
36,04110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",New York,39424,11910,63202,62.4,18.8
48,05907,"Bexar County (South)--San Antonio City (Far South) PUMA, Texas",Texas,20521,6782,36126,56.8,18.8
48,04902,"Fort Bend County (Northeast)--Sugar Land & Stafford Cities PUMA, Texas",Texas,25719,8952,47672,53.9,18.8
51,51245,"Manassas, Manassas Park Cities & Prince William County (Central)--Buckhall & Sudley PUMA; Virginia",Virginia,18507,7619,40608,45.6,18.8
24,01002,"Montgomery County (West Central)--Germantown & Montgomery Village PUMA, Maryland",Maryland,23775,8596,45949,51.7,18.7
48,03100,"Permian Basin Regional Planning Commission (Central)--Ector County--Odessa City PUMA, Texas",Texas,31060,10132,54254,57.2,18.7
06,08510,"Santa Clara County (Central)--San Jose City (Central) PUMA, California",California,31854,10413,55914,57,18.6
06,03714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California",California,26139,6470,34795,75.1,18.6
06,06512,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California",California,15204,5806,31261,48.6,18.6
17,03008,"Kane County (Northeast)--Elgin (North & Central) & Dundee Townships PUMA, Illinois",Illinois,20441,8818,47478,43.1,18.6
06,07107,"San Bernardino County (Southwest)--San Bernardino City (East) PUMA, California",California,19116,7111,38379,49.8,18.5
12,08605,"Miami-Dade County--North Miami City (Southwest) & Golden Glades (West) PUMA, Florida",Florida,23653,6279,33966,69.6,18.5
48,04905,"Fort Bend County (West & South) PUMA, Texas",Texas,33342,12979,70207,47.5,18.5
13,01002,"Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA, Georgia",Georgia,16199,7359,39974,40.5,18.4
34,00304,"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough PUMA; New Jersey",New Jersey,24202,8140,44154,54.8,18.4
12,08610,"Miami-Dade County (Central)--Miami Springs City & Miami International Airport PUMA, Florida",Florida,29605,6730,36808,80.4,18.3
26,03203,"Wayne County (Central)--Dearborn & Dearborn Heights Cities PUMA, Michigan",Michigan,23843,9452,51552,46.3,18.3
34,00903,"Middlesex County (Northwest)--South Plainfield & Middlesex Boroughs PUMA, New Jersey",New Jersey,19135,6901,37777,50.7,18.3
48,04622,"Harris County (East)--Deer Park, La Porte (North) Cities & Channelview PUMA; Texas",Texas,16232,6583,36050,45,18.3
06,07306,"San Diego County (Northwest)--Escondido City (East) PUMA, California",California,20767,8274,45438,45.7,18.2
12,08620,"Miami-Dade County (East Central)--Kendall (North), Sunset & Westwood Lakes PUMA; Florida",Florida,28791,6456,35428,81.3,18.2
42,02803,"Allentown City PUMA, Pennsylvania",Pennsylvania,24449,8680,47807,51.1,18.2
06,06706,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda PUMA; California",California,18196,6828,37675,48.3,18.1
06,07112,"San Bernardino County (Southwest)--Upland & Montclair Cities PUMA, California",California,21393,7473,41376,51.7,18.1
48,02504,"Tarrant County (Southeast)--Arlington (Southeast) & Grand Prairie (Southwest) Cities PUMA, Texas",Texas,16247,6378,35288,46,18.1
48,04633,"Harris County (Northwest)--South of US-290 & West of TX-6 PUMA, Texas",Texas,17942,6262,34652,51.8,18.1
04,00133,"Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities PUMA, Arizona",Arizona,17860,6671,37014,48.3,18
06,08508,"Santa Clara County (Central)--San Jose (West Central) & Campbell Cities PUMA, California",California,28132,9191,50938,55.2,18
06,03749,"Los Angeles County (Central)--Inglewood City PUMA, California",California,19401,6985,38894,49.9,18
12,08615,"Miami-Dade County (East Central)--Miami City (West) PUMA, Florida",Florida,38401,7332,40638,94.5,18
48,01902,"Collin County (Southwest)--Plano City (West) PUMA, Texas",Texas,19922,8084,44927,44.3,18
48,05908,"San Antonio City (West)--Between Loop TX-1604 & Loop I-410 PUMA, Texas",Texas,21510,6924,38407,56,18
06,03900,"Madera County--Madera City PUMA, California",California,26120,9439,52884,49.4,17.8
06,01307,"Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA, California",California,22469,7600,42723,52.6,17.8
17,03307,"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships PUMA; Illinois",Illinois,22326,8800,49733,44.9,17.7
48,02314,"Dallas City (East Central)--South of I-30 & East of I-35E PUMA, Texas",Texas,18058,7453,42051,42.9,17.7
06,08502,"Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities PUMA, California",California,37639,10480,59453,63.3,17.6
06,07701,"San Joaquin County (Central)--Stockton City (North) PUMA, California",California,31065,11093,62877,49.4,17.6
06,08506,"Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities PUMA; California",California,18479,6883,39096,47.3,17.6
06,07106,"San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities PUMA; California",California,18428,6237,35523,51.9,17.6
24,01005,"Montgomery County (East Central)--Wheaton, Aspen Hill & Glenmont PUMA; Maryland",Maryland,25460,8777,49800,51.1,17.6
34,00703,"Hudson County (South & West)--Bayonne City, Kearney & Harrison Towns PUMA; New Jersey",New Jersey,30680,8852,50297,61,17.6
48,04612,"Houston (West) & Spring Valley Village Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",Texas,21698,6972,39577,54.8,17.6
06,07102,"San Bernardino County (West Central)--Victorville & Adelanto Cities PUMA, California",California,26021,9080,51890,50.1,17.5
17,03422,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois",Illinois,29078,8502,48482,60,17.5
34,00905,"Middlesex County (Northeast)--Carteret Borough PUMA, New Jersey",New Jersey,19681,7205,41212,47.8,17.5
48,04626,"Harris County (North)--Houston City (North)--I-45, Between Beltway TX-8 & FM-1960 PUMA; Texas",Texas,25690,8100,46268,55.5,17.5
48,04632,"Harris County (Far Northwest)--Katy City (Northeast) PUMA, Texas",Texas,26812,9835,56215,47.7,17.5
51,59301,"Fairfax County (East Central)--Annandale, West Falls Church & Bailey's Crossroads PUMA; Virginia",Virginia,29295,9123,52032,56.3,17.5
48,05903,"San Antonio City (Southeast)--Inside Loop I-410 PUMA, Texas",Texas,26250,7154,41086,63.9,17.4
04,00119,"Phoenix City (South) PUMA, Arizona",Arizona,20214,6519,37592,53.8,17.3
06,03764,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California",California,30072,8640,49906,60.3,17.3
06,07311,"San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA, California",California,20494,7119,41245,49.7,17.3
06,03739,"Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA, California",California,31955,9275,53717,59.5,17.3
12,01112,"Broward County (South Central)--Miramar (West) & Pembroke Pines (Southwest) Cities PUMA, Florida",Florida,30206,8467,48907,61.8,17.3
25,00701,"Essex County (Northwest)--Lawrence, Haverhill & Methuen Town Cities PUMA; Massachusetts",Massachusetts,36480,12251,70856,51.5,17.3
35,00100,"Northwest New Mexico--Navajo Nation PUMA, New Mexico",New Mexico,29638,6998,40418,73.3,17.3
48,02316,"Dallas City (South Central)--North of I-20 & West of I-35E PUMA, Texas",Texas,17715,6585,38092,46.5,17.3
06,06513,"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California",California,24195,8344,48441,49.9,17.2
06,05905,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California",California,38134,12859,74891,50.9,17.2
12,01101,"Broward County (West)--Coral Springs & Parkland Cities PUMA, Florida",Florida,24420,8849,51347,47.6,17.2
32,00404,"Clark County (East)--Mesquite City, Sunrise Manor (North), Moapa Valley & Nellis AFB PUMA; Nevada",Nevada,23298,8805,51295,45.4,17.2
48,03304,"El Paso City (Central) PUMA, Texas",Texas,33350,6777,39397,84.7,17.2
49,35001,"Salt Lake County (Northwest)--Salt Lake City (West), West Valley City (West) & Magna PUMA; Utah",Utah,14559,5422,31437,46.3,17.2
04,00201,"Pima County (West) PUMA, Arizona",Arizona,18649,6438,37597,49.6,17.1
06,03746,"Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California",California,27597,7383,43252,63.8,17.1
06,08102,"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PUMA; California",California,25664,7234,42397,60.5,17.1
12,09702,"Osceola County (East) PUMA, Florida",Florida,23918,7882,46034,52,17.1
04,00125,"Phoenix City (West) PUMA, Arizona",Arizona,18051,6548,38598,46.8,17
12,08616,"Miami-Dade County (East)--Coral Gables City, Pinecrest Village & Kendall (South) PUMA; Florida",Florida,26878,6995,41088,65.4,17
48,01904,"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA; Texas",Texas,18825,7708,45334,41.5,17
06,03724,"Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA, California",California,37307,10713,63559,58.7,16.9
06,01904,"Fresno County (Central)--Fresno City (Southwest) PUMA, California",California,31039,9929,58730,52.9,16.9
06,11105,"Ventura County (North)--Santa Paula, Fillmore & Ojai Cities PUMA; California",California,19444,6706,39711,49,16.9
08,00816,"Denver City (Southwest) PUMA, Colorado",Colorado,21074,8088,47891,44,16.9
25,04000,"Plymouth & Norfolk Counties--Brockton City, Stoughton & Avon Towns PUMA; Massachusetts",Massachusetts,20692,7844,46314,44.7,16.9
32,00405,"Las Vegas City (Southeast) PUMA, Nevada",Nevada,25346,8330,49160,51.6,16.9
06,03733,"Los Angeles County (Central)--LA City (Central/Koreatown) PUMA, California",California,35579,7707,45794,77.7,16.8
06,03736,"Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA, California",California,29830,7155,42711,69.8,16.8
06,02902,"Kern County (Central)--Bakersfield City (West) PUMA, California",California,32830,12024,71731,45.8,16.8
12,08603,"Miami-Dade County (Northeast)--Greater North Miami Beach City (West) PUMA, Florida",Florida,26216,6297,37535,69.8,16.8
25,00704,"Essex County (South)--Lynn City, Swampscott & Nahant Towns PUMA; Massachusetts",Massachusetts,20373,6858,40921,49.8,16.8
48,04607,"Houston City (Northeast)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",Texas,17142,6499,38797,44.2,16.8
48,04602,"Houston City (East Central)--East of I-45 & Inside Loop I-610 PUMA, Texas",Texas,28806,7790,46373,62.1,16.8
12,09905,"Palm Beach County (East Central)--Lake Worth City, Lantana Town & Atlantis City PUMA; Florida",Florida,22498,7762,46532,48.3,16.7
17,03521,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",Illinois,30495,10216,61105,49.9,16.7
51,51246,"Prince William County (Southeast)--Dale City, Lake Ridge & Woodbridge PUMA; Virginia",Virginia,35911,13870,83207,43.2,16.7
51,59309,"Fairfax County (West Central)--Centreville (North & West) & Chantilly (South & West) PUMA, Virginia",Virginia,18835,6527,39032,48.3,16.7
12,09904,"Palm Beach County (East)--Greenacres City (North) & Palm Springs Village (North) PUMA, Florida",Florida,27068,8138,48896,55.4,16.6
34,01301,"Essex County (Southeast)--Newark City (North & East) PUMA, New Jersey",New Jersey,41458,10910,65821,63,16.6
